"","ime","leto","stevilo","spol"
"514","Caslav",2008,29,"moski"
"515","Cazim",2008,13,"moski"
"516","Cedo",2008,133,"moski"
"517","Cedomil",2008,5,"moski"
"518","Cedomir",2008,124,"moski"
"519","Crt",2008,290,"moski"
"520","Crtomir",2008,224,"moski"
"521","Dado",2008,13,"moski"
"522","Dag",2008,6,"moski"
"523","Dagmar",2008,6,"moski"
"524","Dako",2008,14,"moski"
"525","Dali",2008,8,"moski"
"526","Dalibor",2008,646,"moski"
"527","Dalimir",2008,5,"moski"
"528","Dalip",2008,10,"moski"
"529","Damian",2008,26,"moski"
"530","Damijan",2008,1825,"moski"
"531","Damir",2008,1751,"moski"
"532","Damjan",2008,4355,"moski"
"533","Dan",2008,98,"moski"
"534","Dane",2008,154,"moski"
"535","Danej",2008,18,"moski"
"536","Dani",2008,152,"moski"
"537","Daniel",2008,1675,"moski"
"538","Daniele",2008,17,"moski"
"539","Danijel",2008,3762,"moski"
"540","Danilo",2008,2616,"moski"
"541","Danimir",2008,18,"moski"
"542","Danis",2008,5,"moski"
"543","Danislav",2008,7,"moski"
"544","Danjel",2008,142,"moski"
"545","Danko",2008,69,"moski"
"546","Dano",2008,5,"moski"
"547","Dante",2008,13,"moski"
"548","Dany",2008,5,"moski"
"549","Dardan",2008,19,"moski"
"550","Dare",2008,22,"moski"
"551","Darian",2008,16,"moski"
"552","Darij",2008,133,"moski"
"553","Darijan",2008,119,"moski"
"554","Darijo",2008,131,"moski"
"555","Darin",2008,18,"moski"
"556","Darinko",2008,43,"moski"
"557","Darino",2008,5,"moski"
"558","Dario",2008,373,"moski"
"559","Daris",2008,14,"moski"
"560","Darjan",2008,387,"moski"
"561","Darjo",2008,252,"moski"
"562","Darko",2008,6241,"moski"
"563","Daroslav",2008,8,"moski"
"564","Darvin",2008,8,"moski"
"565","Dasmir",2008,7,"moski"
"566","Daso",2008,6,"moski"
"567","Daut",2008,25,"moski"
"568","David",2008,7170,"moski"
"569","Davide",2008,12,"moski"
"570","Davor",2008,1197,"moski"
"571","Davorin",2008,1481,"moski"
"572","Davorin Martin",2008,5,"moski"
"573","Davud",2008,11,"moski"
"574","Dean",2008,623,"moski"
"575","Dedo",2008,15,"moski"
"576","Deen",2008,5,"moski"
"577","Defrim",2008,5,"moski"
"578","Dejan",2008,7943,"moski"
"579","Dejanco",2008,6,"moski"
"580","Dejvi",2008,10,"moski"
"581","Dejvid",2008,48,"moski"
"582","Dejvis",2008,5,"moski"
"583","Delco",2008,5,"moski"
"584","Demeter",2008,5,"moski"
"585","Demetrij",2008,19,"moski"
"586","Demian",2008,9,"moski"
"587","Demir",2008,51,"moski"
"588","Demirel",2008,6,"moski"
"589","Demis",2008,9,"moski"
"590","Demis",2008,5,"moski"
"591","Demitrij",2008,13,"moski"
"592","Demus",2008,5,"moski"
"593","Den",2008,14,"moski"
"594","Deni",2008,109,"moski"
"595","Denijal",2008,8,"moski"
"596","Denis",2008,4982,"moski"
"597","Deniz",2008,7,"moski"
"598","Dennis",2008,33,"moski"
"599","Deny",2008,5,"moski"
"600","Denys",2008,5,"moski"
"601","Dervis",2008,67,"moski"
"602","Dervo",2008,5,"moski"
"603","Desimir",2008,51,"moski"
"604","Destan",2008,8,"moski"
"605","Devid",2008,11,"moski"
"606","Devis",2008,10,"moski"
"607","Dezider",2008,43,"moski"
"608","Deziderij",2008,25,"moski"
"609","Deyan",2008,6,"moski"
"610","Dibran",2008,7,"moski"
"611","Diego",2008,44,"moski"
"612","Dieter",2008,6,"moski"
"613","Dijego",2008,6,"moski"
"614","Diko",2008,6,"moski"
"615","Dilaver",2008,7,"moski"
"616","Dimce",2008,17,"moski"
"617","Dime",2008,7,"moski"
"618","Dimitar",2008,33,"moski"
"619","Dimitri",2008,13,"moski"
"620","Dimitrij",2008,336,"moski"
"621","Dimitrija",2008,19,"moski"
"622","Dimitrije",2008,73,"moski"
"623","Din",2008,72,"moski"
"624","Dine",2008,5,"moski"
"625","Dinko",2008,57,"moski"
"626","Dino",2008,400,"moski"
"627","Dion",2008,8,"moski"
"628","Dionis",2008,5,"moski"
"629","Dionizij",2008,16,"moski"
"630","Djafer",2008,7,"moski"
"631","Djego",2008,7,"moski"
"632","Djemal",2008,9,"moski"
"633","Djerdj",2008,5,"moski"
